[15/Oct/2024:10:58:24 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/" [Client 172.18.0.1] [Length 752] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "-"
[15/Oct/2024:10:58:29 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/images/favicons/apple-touch-icon.png" [Client 172.18.0.1] [Length 16709] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:10:58:29 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/images/favicons/favicon-16x16.png" [Client 172.18.0.1] [Length 1512] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:10:58:35 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/css/main.css?v=2.11.3" [Client 172.18.0.1] [Length 305815] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:10:58:42 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/js/main.bundle.js?v=2.11.3" [Client 172.18.0.1] [Length 619589] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:10:58:44 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:10:58:45 +0000] - 401 401 - GET https proxy.thornasol.duckdns.org "/api/tokens" [Client 172.18.0.1] [Length 52] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:10:58:45 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/login" [Client 172.18.0.1] [Length 776] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:10:58:47 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/js/login.bundle.js?v=2.11.3" [Client 172.18.0.1] [Length 214921] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/login"
[15/Oct/2024:10:58:48 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/images/logo-text-vertical-grey.png" [Client 172.18.0.1] [Length 14281] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/login"
[15/Oct/2024:10:58:48 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/assets/source-sans-pro-v14-latin-ext_latin-regular.woff2" [Client 172.18.0.1] [Length 25656] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/css/main.css?v=2.11.3"
